lat_long
"(47.54078885, -122.32254262275845)"
"(47.72654622045352, -122.08072686606421)"
"(47.63131965006027, -122.05250824677746)"
"(47.51851051256281, -122.20566506532664)"
"(47.678579799999994, -122.38246479416341)"
"(47.70789335, -122.371183982874)"
"(47.60478745, -122.29814635413078)"
"(47.580947942180025, -122.11938347628697)"
"(47.6993546, -122.35094049079501)"
"(47.734116650000004, -122.20039989362301)"
"(47.2142145, -121.983618)"
"(47.2576762, -122.19272725)"
"(47.629021, -122.09528)"
"(47.548107, -122.258997)"
"(47.750502, -122.07830040910603)"
"(47.597491329138684, -122.01884086186817)"
"(47.3225621, -122.29013315)"
"(47.6559633, -122.34379728340909)"
"(47.693352, -122.01446572431958)"
"(47.68309335, -122.35850534537016)"
"(47.3995709, -122.3141597)"
"(47.7616047, -122.1393639)"
"(47.440962350404696, -122.50849864863568)"
"(47.706347550000004, -122.37372435979981)"
"(47.36826575, -122.01843961976684)"
"(47.6992256, -122.1348611)"
"(47.416711, -122.3210563494233)"
"(47.552618, -122.13782096551724)"
"(47.552316408163264, -122.10959318367347)"
"(47.36353655, -122.04616051496654)"
"(47.66142345, -122.2032298796875)"
"(47.692675333333334, -122.34251818181818)"
"(47.558681, -121.8585572)"
"(47.617121857150536, -122.10538528629031)"
"(47.4119077, -122.18731069063395)"
"(47.57611535, -122.38833966209981)"
"(47.72512815, -122.17071809985933)"
"(47.72512815, -122.17071809985933)"
"(47.45665685, -122.17297114648638)"
"(47.656613126657994, -122.12978392273189)"
"(47.71184595, -122.2959081473823)"
"(47.6285455, -122.36531136505437)"
"(47.5760266973493, -122.15413775233449)"
"(47.52694112244898, -122.32570228571429)"
"(47.485498050000004, -122.2024959)"
"(47.3207858, -122.3696519)"
"(47.4873376, -121.8622122)"
"(47.68552965000001, -122.39336925052378)"
"(47.265589, -122.000133)"
"(47.3321689, -122.2565422)"
"(47.4714707, -122.35747889999999)"
"(47.55762775, -122.38777895292604)"
"(47.560241920573304, -122.04061942003275)"
"(47.60547319135802, -122.15573919135802)"
"(47.423179, -122.28855520359281)"
"(47.59483655, -122.30196861285377)"
"(47.6862619, -122.28018678528511)"
"(47.4622805, -122.13046215485352)"
"(47.56718129600618, -122.01961815650063)"
"(47.305262850000005, -122.02562751043726)"
"(47.3300368, -122.35017619578059)"
"(47.56382605, -122.3657241289)"
"(47.533188, -122.220321)"
"(47.39353654526525, -122.51230838682886)"
"(47.75136485, -122.23390637398649)"
"(47.4223265, -122.21391335695895)"
"(47.687551, -122.289301)"
"(47.563421649999995, -122.28099924794797)"
"(47.597156486492395, -122.13695692318541)"
"(47.597156486492395, -122.13695692318541)"
"(47.577982791180645, -122.0497022542927)"
"(47.3788368, -122.2205215)"
"(47.541381897104905, -122.16963082316074)"
"(47.59945432097502, -122.0134693649365)"
"(47.6019952, -122.3080091)"
"(47.323655200000005, -122.32161722827777)"
"(47.32602645, -122.20947148337054)"
"(47.775390900000005, -122.26288567450763)"
"(47.3044613, -122.3481257840333)"
"(47.63217888888889, -122.17055707070708)"
"(47.3251862, -122.275544825)"
"(47.57969496969697, -122.20934227272728)"
